epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,36.6959,1.69149,2.6109,3.71334,1.13132,0,0.05186,0.46004,0.17844,0.12392,0.05045,0.45865,0.17568,0.11006,1.43466,2.20611,3.47192,1.03306,0,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,37.6581,1.66898,2.56041,3.68173,1.1515,0,0.05186,0.46004,0.17844,0.12392,0.05045,0.45865,0.17568,0.11006,1.43466,2.20611,3.47192,1.03306,0,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,38.5491,1.58507,2.54701,3.62901,1.14871,0,0.06212,0.47393,0.19432,0.13017,0.06212,0.47393,0.19242,0.11931,1.44072,2.21333,3.43801,1.03375,0,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,40.153,1.63331,2.63162,3.61692,1.1337,0,0.07928,0.51506,0.22567,0.14772,0.08094,0.49476,0.2229,0.13485,1.45948,2.20469,3.39853,1.03897,0,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,41.172,1.60083,2.59461,3.55356,1.14275,0,0.07928,0.51506,0.22567,0.14772,0.08094,0.49476,0.2229,0.13485,1.45948,2.20469,3.39853,1.03897,0,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,42.1831,1.58407,2.59219,3.55388,1.16564,0,0.08999,0.58868,0.24371,0.15884,0.08958,0.44199,0.24172,0.13911,1.4738,2.19924,3.36679,1.03956,0,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,43.1664,1.57584,2.53477,3.52873,1.13368,0,0.08999,0.58868,0.24371,0.15884,0.08958,0.44199,0.24172,0.13911,1.4738,2.19924,3.36679,1.03956,0,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,44.1837,1.58606,2.55192,3.51559,1.17219,0,0.09813,0.61368,0.25623,0.16722,0.09865,0.49006,0.25744,0.14755,1.48025,2.209,3.34358,1.04582,0,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,45.2,1.58282,2.56853,3.49636,1.11122,0,0.1043,0.62233,0.26459,0.17337,0.10498,0.50256,0.2684,0.15333,1.48268,2.20968,3.32238,1.04785,0,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,46.1614,1.62419,2.59778,3.48094,1.12899,0,0.1043,0.62233,0.26459,0.17337,0.10498,0.50256,0.2684,0.15333,1.48268,2.20968,3.32238,1.04785,0,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,47.3039,1.56195,2.57499,3.48395,1.13621,0,0.10372,0.62511,0.2695,0.17329,0.10626,0.5234,0.27452,0.15344,1.48849,2.20715,3.3118,1.04945,0,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,48.3398,1.63261,2.65307,3.54888,1.21342,0,0.10257,0.62147,0.26623,0.17396,0.10308,0.44562,0.2698,0.15158,1.48174,2.2151,3.29951,1.05135,0,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,49.25,1.54777,2.5617,3.4769,1.14076,0,0.10257,0.62147,0.26623,0.17396,0.10308,0.44562,0.2698,0.15158,1.48174,2.2151,3.29951,1.05135,0,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
