epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.86171,2.20987,3.71107,4.44985,1.46058,0,0.0135,0.12927,0.00987,0.0055,0.02282,0.07457,0.01558,0.00788,1.8517,3.1824,4.09907,1.13384,0,0.00021,7e-05,0.00021,7e-05,0.00021,7e-05,0.00021,7e-05
2,2.90022,2.14959,3.60785,4.44902,1.44514,0,0.00902,0.14209,0.00931,0.00524,0.01449,0.0938,0.01221,0.00689,1.85198,3.08088,4.11216,1.14323,0,0.00044109,0.00014703,0.00044109,0.00014703,0.00044109,0.00014703,0.00044109,0.00014703
3,3.82663,2.08354,3.40324,4.43035,1.41233,0,0.00678,0.13568,0.0067,0.00387,0.00687,0.09241,0.00765,0.00543,1.83526,3.00844,4.11667,1.13851,0,0.000662676,0.000220892,0.000662676,0.000220892,0.000662676,0.000220892,0.000662676,0.000220892
4,4.79555,2.11196,3.33492,4.42747,1.43188,0,0.00621,0.14209,0.00547,0.00275,0.00612,0.09241,0.00583,0.00394,1.76313,2.88083,4.11414,1.11976,0,0.000874758,0.000291586,0.000874758,0.000291586,0.000874758,0.000291586,0.000874758,0.000291586
5,5.74361,2.00593,3.16994,4.41154,1.37283,0,0.00581,0.14209,0.00476,0.00281,0.0092,0.11047,0.00781,0.00421,1.74353,2.82492,4.11923,1.11542,0,0.00107734,0.000359112,0.00107734,0.000359112,0.00107734,0.000359112,0.00107734,0.000359112
6,6.73321,2.0222,3.1959,4.44013,1.30911,0,0.00454,0.07959,0.00387,0.00247,0.00951,0.11186,0.00743,0.0039,1.67157,2.67798,4.12072,1.09605,0,0.00127041,0.00042347,0.00127041,0.00042347,0.00127041,0.00042347,0.00127041,0.00042347
7,7.6259,1.97716,3.16909,4.38947,1.3434,0,0.00486,0.14209,0.01212,0.00284,0.00732,0.11047,0.00569,0.00288,1.65784,2.61662,4.11729,1.09306,0,0.00145398,0.00048466,0.00145398,0.00048466,0.00145398,0.00048466,0.00145398,0.00048466
8,8.52691,1.93365,3.19583,4.38423,1.30771,0,0.00412,0.07318,0.00281,0.00171,0.00529,0.10908,0.00399,0.00249,1.65022,2.56969,4.10586,1.09499,0,0.00162805,0.000542682,0.00162805,0.000542682,0.00162805,0.000542682,0.00162805,0.000542682
9,9.34446,1.82963,3.02826,4.34006,1.27384,0,0.00454,0.13568,0.01814,0.00315,0.00696,0.11047,0.0048,0.00241,1.65065,2.57271,4.10617,1.09883,0,0.00179261,0.000597536,0.00179261,0.000597536,0.00179261,0.000597536,0.00179261,0.000597536
10,10.3959,1.95017,3.05091,4.3734,1.31385,0,0.00454,0.13568,0.01814,0.00315,0.00696,0.11047,0.0048,0.00241,1.65065,2.57271,4.10617,1.09883,0,0.00194767,0.000649222,0.00194767,0.000649222,0.00194767,0.000649222,0.00194767,0.000649222
11,11.5008,1.86695,3.00473,4.33692,1.27226,0,0.00438,0.12927,0.00887,0.00222,0.00533,0.10908,0.00395,0.00231,1.66541,2.54694,4.09374,1.09814,0,0.00209322,0.00069774,0.00209322,0.00069774,0.00209322,0.00069774,0.00209322,0.00069774
12,12.5824,1.81402,2.86503,4.33881,1.23727,0,0.00422,0.12927,0.0045,0.00192,0.00476,0.09626,0.00359,0.00199,1.64916,2.50709,4.08222,1.0842,0,0.00222927,0.00074309,0.00222927,0.00074309,0.00222927,0.00074309,0.00222927,0.00074309
13,13.6815,1.83573,2.92916,4.31762,1.23569,0,0.00422,0.12927,0.0045,0.00192,0.00476,0.09626,0.00359,0.00199,1.64916,2.50709,4.08222,1.0842,0,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,14.6448,1.70542,2.79628,4.26452,1.18573,0,0.00403,0.06677,0.0028,0.00171,0.00507,0.09626,0.00391,0.00228,1.65038,2.46986,4.05711,1.08032,0,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,15.5083,1.80523,2.84053,4.27225,1.19485,0,0.00399,0.06677,0.0029,0.00178,0.00481,0.08985,0.00383,0.0022,1.63153,2.45984,4.02676,1.0765,0,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,16.3554,1.83745,2.88057,4.24995,1.25277,0,0.00399,0.06677,0.0029,0.00178,0.00481,0.08985,0.00383,0.0022,1.63153,2.45984,4.02676,1.0765,0,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,17.2717,1.74863,2.75162,4.19916,1.22243,0,0.00429,0.07318,0.00341,0.00217,0.00671,0.09765,0.00532,0.00278,1.61677,2.43097,3.99842,1.08068,0,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,18.1334,1.77791,2.75998,4.21493,1.21296,0,0.00429,0.07318,0.00341,0.00217,0.00671,0.09765,0.00532,0.00278,1.61677,2.43097,3.99842,1.08068,0,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,19.0358,1.76589,2.85695,4.1512,1.19633,0,0.00512,0.09241,0.00542,0.00381,0.00757,0.11688,0.00861,0.00432,1.57652,2.41849,3.962,1.06589,0,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,19.9027,1.70402,2.7543,4.11608,1.1642,0,0.00695,0.13729,0.01667,0.01264,0.00914,0.15534,0.01866,0.01278,1.56637,2.40307,3.91543,1.05821,0,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,20.836,1.71772,2.75962,4.11118,1.16183,0,0.00695,0.13729,0.01667,0.01264,0.00914,0.15534,0.01866,0.01278,1.56637,2.40307,3.91543,1.05821,0,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,22.0371,1.71065,2.7684,4.09269,1.14361,0,0.00926,0.2485,0.02627,0.02015,0.01099,0.20406,0.02789,0.01878,1.5193,2.37027,3.87091,1.04792,0,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,23.1995,1.66531,2.64425,4.08606,1.14526,0,0.01095,0.29466,0.03966,0.02929,0.01273,0.25021,0.04141,0.02817,1.49734,2.35736,3.8324,1.04859,0,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,24.0546,1.60206,2.49285,4.02221,1.07706,0,0.01095,0.29466,0.03966,0.02929,0.01273,0.25021,0.04141,0.02817,1.49734,2.35736,3.8324,1.04859,0,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,25.0707,1.65638,2.64999,4.01623,1.14843,0,0.01155,0.30748,0.06077,0.045,0.01331,0.26303,0.06339,0.04116,1.49051,2.31429,3.79256,1.0519,0,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,25.9416,1.67088,2.7025,4.01588,1.14348,0,0.01155,0.30748,0.06077,0.045,0.01331,0.26303,0.06339,0.04116,1.49051,2.31429,3.79256,1.0519,0,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,26.9119,1.67136,2.68851,3.95943,1.12916,0,0.01219,0.32415,0.07344,0.05302,0.01489,0.26442,0.07601,0.04926,1.48852,2.30356,3.74818,1.04781,0,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,27.8211,1.65259,2.62721,3.95166,1.10741,0,0.01248,0.33056,0.08976,0.06355,0.01657,0.35,0.09437,0.0583,1.4771,2.28684,3.70814,1.04457,0,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
29,28.6495,1.6225,2.55729,3.9184,1.15037,0,0.01248,0.33056,0.08976,0.06355,0.01657,0.35,0.09437,0.0583,1.4771,2.28684,3.70814,1.04457,0,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
30,29.5331,1.58947,2.55668,3.89657,1.15435,0,0.01486,0.40085,0.11516,0.08032,0.01811,0.40363,0.11657,0.07166,1.48636,2.27099,3.6551,1.05,0,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,30.3717,1.58696,2.57829,3.85658,1.11019,0,0.01486,0.40085,0.11516,0.08032,0.01811,0.40363,0.11657,0.07166,1.48636,2.27099,3.6551,1.05,0,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,31.2784,1.71585,2.72001,3.8508,1.14225,0,0.01634,0.40224,0.1215,0.08458,0.01856,0.4203,0.1246,0.0753,1.48651,2.26536,3.61495,1.04859,0,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,32.2052,1.636,2.73228,3.8042,1.13914,0,0.02089,0.40641,0.13368,0.09291,0.02335,0.43088,0.13753,0.0847,1.46896,2.2395,3.57737,1.03971,0,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,33.0913,1.65178,2.65298,3.79187,1.09437,0,0.02089,0.40641,0.13368,0.09291,0.02335,0.43088,0.13753,0.0847,1.46896,2.2395,3.57737,1.03971,0,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,33.9908,1.60782,2.54716,3.75897,1.09177,0,0.02925,0.43002,0.14609,0.10071,0.0317,0.45449,0.14957,0.09013,1.45589,2.22421,3.53971,1.03783,0,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,34.9083,1.59436,2.48466,3.75172,1.11948,0,0.0395,0.44615,0.16368,0.11453,0.041,0.44754,0.16381,0.10439,1.44469,2.2137,3.50713,1.03494,0,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,35.7961,1.66558,2.57411,3.70378,1.12973,0,0.0395,0.44615,0.16368,0.11453,0.041,0.44754,0.16381,0.10439,1.44469,2.2137,3.50713,1.03494,0,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
