epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,33.7281,1.90206,2.90517,4.39234,0.00497,2.88585,0.00895,0.09765,0.0126,0.01047,0.01101,0.16303,0.00823,0.00478,1.58633,2.65693,3.95098,0.00466,0,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,35.0955,1.8548,2.82052,4.3644,0.00479,3.12557,0.01585,0.10043,0.0182,0.01248,0.01798,0.16581,0.01407,0.00647,1.58223,2.65773,3.90482,0.00467,0,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,36.2824,1.77462,2.68693,4.29441,0.00434,3.1073,0.01585,0.10043,0.0182,0.01248,0.01798,0.16581,0.01407,0.00647,1.58223,2.65773,3.90482,0.00467,0,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,37.6976,1.85973,2.84916,4.27428,0.00515,3.15298,0.02003,0.13387,0.0229,0.01566,0.02829,0.20203,0.0233,0.01042,1.56558,2.66722,3.8798,0.00457,0,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,39.0184,1.85861,2.82223,4.26443,0.00478,2.85328,0.02003,0.13387,0.0229,0.01566,0.02829,0.20203,0.0233,0.01042,1.56558,2.66722,3.8798,0.00457,0,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,40.3875,1.82529,2.81466,4.23664,0.00472,3.3034,0.02189,0.14551,0.02622,0.01689,0.02924,0.1906,0.02788,0.01069,1.55351,2.65259,3.8311,0.00452,0,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,41.764,1.78683,2.75512,4.16455,0.00428,3.20166,0.04092,0.17222,0.04235,0.02682,0.04316,0.22094,0.03968,0.01744,1.56943,2.59122,3.75725,0.00462,0,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
29,43.0601,1.76121,2.71329,4.16171,0.00493,2.54844,0.04092,0.17222,0.04235,0.02682,0.04316,0.22094,0.03968,0.01744,1.56943,2.59122,3.75725,0.00462,0,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
30,44.4007,1.71056,2.647,4.11571,0.00484,3.06625,0.05289,0.21175,0.05913,0.03701,0.05251,0.24626,0.05248,0.02485,1.55437,2.60724,3.69253,0.00453,0,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,45.6063,1.78295,2.69093,4.10798,0.00453,2.73249,0.05289,0.21175,0.05913,0.03701,0.05251,0.24626,0.05248,0.02485,1.55437,2.60724,3.69253,0.00453,0,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,47.0179,1.89552,2.84518,4.02073,0.00472,2.68444,0.05507,0.22703,0.07122,0.04203,0.0544,0.24872,0.06126,0.03032,1.56641,2.58418,3.63125,0.00459,0,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,48.4067,1.77229,2.83682,4.00135,0.00493,3.3359,0.05685,0.23814,0.08128,0.04719,0.05677,0.26624,0.07387,0.03424,1.57699,2.53665,3.58428,0.00459,0,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,49.664,1.85148,2.73779,3.93581,0.00437,2.34152,0.05685,0.23814,0.08128,0.04719,0.05677,0.26624,0.07387,0.03424,1.57699,2.53665,3.58428,0.00459,0,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,51.0439,1.74889,2.75377,3.87229,0.00427,2.68074,0.05346,0.25342,0.08832,0.05192,0.05292,0.28013,0.08044,0.03818,1.59909,2.53859,3.49423,0.00462,0,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,52.3755,1.79174,2.65652,3.8434,0.00463,2.52408,0.05068,0.27233,0.09742,0.05825,0.0496,0.28622,0.08025,0.04194,1.61282,2.51918,3.41264,0.00462,0,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,53.8111,1.90802,2.72941,3.8155,0.0048,2.61283,0.05068,0.27233,0.09742,0.05825,0.0496,0.28622,0.08025,0.04194,1.61282,2.51918,3.41264,0.00462,0,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,55.3054,1.88509,2.67907,3.77528,0.00461,2.6172,0.04598,0.28205,0.10273,0.06064,0.04519,0.29594,0.08488,0.0442,1.60457,2.52687,3.34229,0.00457,0,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,56.5848,1.81548,2.63207,3.80781,0.00487,2.57887,0.04598,0.28205,0.10273,0.06064,0.04519,0.29594,0.08488,0.0442,1.60457,2.52687,3.34229,0.00457,0,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,58.0167,1.72311,2.62994,3.69976,0.00512,2.24848,0.04208,0.29957,0.10341,0.05984,0.0399,0.30791,0.08723,0.04592,1.61925,2.54217,3.28678,0.00463,0,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,59.9418,1.76162,2.79125,3.61847,0.00507,2.18842,0.03726,0.32404,0.10755,0.06268,0.03683,0.35684,0.09371,0.04745,1.63061,2.55831,3.15329,0.00472,0,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,61.1801,1.69296,2.71477,3.52003,0.00495,1.88489,0.03726,0.32404,0.10755,0.06268,0.03683,0.35684,0.09371,0.04745,1.63061,2.55831,3.15329,0.00472,0,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,62.622,1.68364,2.7718,3.50606,0.00539,2.08018,0.03655,0.3563,0.1221,0.06961,0.0357,0.38494,0.10647,0.05191,1.63432,2.59909,3.06436,0.00474,0,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,63.8232,1.69875,2.71639,3.49932,0.0051,2.13093,0.03655,0.3563,0.1221,0.06961,0.0357,0.38494,0.10647,0.05191,1.63432,2.59909,3.06436,0.00474,0,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,65.0876,1.64948,2.73889,3.44065,0.00542,1.71256,0.03454,0.36047,0.11799,0.06619,0.03439,0.39188,0.10163,0.04933,1.63915,2.61558,3.01594,0.00475,0,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,66.4043,1.71095,2.73931,3.39005,0.00512,1.88369,0.45384,0.13111,0.11841,0.06594,0.03322,0.39744,0.10067,0.04899,1.6305,2.62336,2.96546,0.0047,0,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,67.7826,1.76862,2.74998,3.33295,0.00511,1.88656,0.45384,0.13111,0.11841,0.06594,0.03322,0.39744,0.10067,0.04899,1.6305,2.62336,2.96546,0.0047,0,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,69.0749,1.66012,2.71389,3.34279,0.00514,1.86904,0.55583,0.10314,0.12434,0.06547,0.39869,0.12148,0.10578,0.05017,1.62793,2.62755,2.92795,0.00469,0,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,70.3163,1.73309,2.82384,3.51296,0.00603,1.88044,0.56392,0.0875,0.12051,0.06284,0.36297,0.09652,0.10581,0.04828,1.65411,2.66385,2.93218,0.00476,0,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,71.5005,1.69807,2.74412,3.40583,0.00539,1.91375,0.56392,0.0875,0.12051,0.06284,0.36297,0.09652,0.10581,0.04828,1.65411,2.66385,2.93218,0.00476,0,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
